ぜんこくずかんナンバー,おなまえ,インデックス1,インデックス2,インデックス3,タイプ1,タイプ2,特性1,特性2,隠れ特性,HP,こうげき,ぼうぎょ,とくこう,とくぼう,すばやさ,合計,種族値列,初登場作品,出身地,初登場世代,分類,進化段階,属性1,属性2,属性3,英語名,中国語繁体,英語名由来
734,ヤングース,,,,ノーマル,,はりこみ,がんじょうあご,てきおうりょく,48,70,30,30,30,45,253,48 70 30 30 30 45 合計253,SM,アローラ,7,うろつきポケモン,進化前,序盤ノーマル,,,Yungoos,貓鼬少,young(若い) + mongoose(マングース)
735,デカグース,,,,ノーマル,,はりこみ,がんじょうあご,てきおうりょく,88,110,60,55,60,45,418,88 110 60 55 60 45 合計418,SM,アローラ,7,はりこみポケモン,最終進化,序盤ノーマル,,,Gumshoos,貓鼬探長,gumshoe(刑事、デカ) + mongoose(マングース)
736,アゴジムシ,,,,むし,,むしのしらせ,,,47,62,45,55,45,46,300,47 62 45 55 45 46 合計300,SM,アローラ,7,ようちゅうポケモン,進化前,序盤虫,,,Grubbin,強顎雞母蟲,grub(地虫、うじ、掘る) + grubbing(掘る、取り除く)
737,デンヂムシ,,,,むし,でんき,バッテリー,,,57,82,95,55,75,36,400,57 82 95 55 75 36 合計400,SM,アローラ,7,バッテリーポケモン,中間進化,序盤虫,,,Charjabug,蟲電寶,charge(充電する) + bug(虫)
738,クワガノン,,,,むし,でんき,ふゆう,,,77,70,90,145,75,43,500,77 70 90 145 75 43 合計500,SM,アローラ,7,くわがたポケモン,最終進化,序盤虫,,,Vikavolt,鍬農炮蟲,VIK(Voltage Improvement Kit) + volt(電圧、ボルト)
739,マケンカニ,,,,かくとう,,かいりきバサミ,てつのこぶし,いかりのつぼ,47,82,57,42,47,63,338,47 82 57 42 47 63 合計338,SM,アローラ,7,けんとうポケモン,進化前,,,,Crabrawler,好勝蟹,crab(カニ) + brawler(喧嘩する人)
740,ケケンカニ,,,,かくとう,こおり,かいりきバサミ,てつのこぶし,いかりのつぼ,97,132,77,62,67,43,478,97 132 77 62 67 43 合計478,SM,アローラ,7,けがにポケモン,最終進化,,,,Crabominable,好勝毛蟹,crab(カニ) + abominable snowman(雪男)
740.1,メガケケンカニ,,,,かくとう,こおり,,,,97,157,122,62,107,33,578,97 157 122 62 107 33 合計578,M次元ラッシュ,アローラ,9,けがにポケモン,最終進化,,メガシンカ,,,,
741,オドリドリ(めらめらスタイル),オドリドリ,めらめらオドリドリ,炎オドリドリ,ほのお,ひこう,おどりこ,,,75,70,70,98,70,93,476,75 70 70 98 70 93 合計476,SM,アローラ,7,ダンスポケモン,進化しない,,,,Oricorio,花舞鳥,oriole(コウライウグイス) + choreography(振り付け) +oratorio(聖譚曲)
741.1,オドリドリ(ぱちぱちスタイル),ぱちぱちオドリドリ,雷オドリドリ,,でんき,ひこう,おどりこ,,,75,70,70,98,70,93,476,75 70 70 98 70 93 合計476,SM,アローラ,7,ダンスポケモン,進化しない,,,,,,
741.2,オドリドリ(ふらふらスタイル),ふらふらオドリドリ,超オドリドリ,,エスパー,ひこう,おどりこ,,,75,70,70,98,70,93,476,75 70 70 98 70 93 合計476,SM,アローラ,7,ダンスポケモン,進化しない,,,,,,
741.3,オドリドリ(まいまいスタイル),まいまいオドリドリ,霊オドリドリ,,ゴースト,ひこう,おどりこ,,,75,70,70,98,70,93,476,75 70 70 98 70 93 合計476,SM,アローラ,7,ダンスポケモン,進化しない,,,,,,
742,アブリー,,,,むし,フェアリー,みつあつめ,りんぷん,スイートベール,40,45,40,55,40,84,304,40 45 40 55 40 84 合計304,SM,アローラ,7,ツリアブポケモン,進化前,,,,Cutiefly,萌虻,cutie pie(かわいい) + bee fly(ツリアブ)
743,アブリボン,,,,むし,フェアリー,みつあつめ,りんぷん,スイートベール,60,55,60,95,70,124,464,60 55 60 95 70 124 合計464,SM,アローラ,7,ツリアブポケモン,最終進化,,,,Ribombee,蝶結萌虻,ribbon(リボン) + Bombyliidae(ツリアブ科) ＋ bee(蜂)
744,イワンコ,,,,いわ,,するどいめ,やるき,ふくつのこころ,45,65,40,30,40,60,280,45 65 40 30 40 60 合計280,SM,アローラ,7,こいぬポケモン,進化前,,,,Rockruff,岩狗狗,rock(岩) + ruff(犬の鳴き声、ひだ襟)
744.1,イワンコ(とくべつ),とくべつなイワンコ,マイペースイワンコ,たそがれイワンコ,いわ,,マイペース,,,45,65,40,30,40,60,280,45 65 40 30 40 60 合計280,USUM,アローラ,7,こいぬポケモン,進化前,,,,,,
745,ルガルガン(まひるのすがた),ルガルガン,まひるルガルガン,まひるのすがた,いわ,,するどいめ,すなかき,ふくつのこころ,75,115,65,55,65,112,487,75 115 65 55 65 112 合計487,SM,アローラ,7,オオカミポケモン,最終進化,,,,Lycanroc,鬃岩狼人,lycanthrope(狼人間、おおかみ男) + rock(岩)
745.1,ルガルガン(まよなかのすがた),まよなかルガルガン,真夜中ルガルガン,まよなかのすがた,いわ,,するどいめ,やるき,ノーガード,85,115,75,55,75,82,487,85 115 75 55 75 82 合計487,SM,アローラ,7,オオカミポケモン,最終進化,,,,,,
745.2,ルガルガン(たそがれのすがた),たそがれルガルガン,黄昏ルガルガン,たそがれのすがた,いわ,,かたいつめ,,,75,117,65,55,65,110,487,75 117 65 55 65 110 合計487,USUM,アローラ,7,オオカミポケモン,最終進化,,,,,,
746,ヨワシ(たんどくのすがた),ヨワシ,ヨワシたんどくのすがた,たんどくのすがた,みず,,ぎょぐん,,ぎょぐん,45,20,20,25,25,40,175,45 20 20 25 25 40 合計175,SM,アローラ,7,こざかなポケモン,進化しない,,,,Wishiwashi,弱丁魚,wishy-washy(弱々しい、水っぽい、気の抜けた、くだらない、中身のからっぽな)
746.1,ヨワシ(むれたすがた),ヨワシむれたすがた,ツヨシ,ヨワシ群,みず,,ぎょぐん,,ぎょぐん,45,140,130,140,135,30,620,45 140 130 140 135 30 合計620,SM,アローラ,7,こざかなポケモン,進化しない,,,,,,
747,ヒドイデ,,,,どく,みず,ひとでなし,じゅうなん,さいせいりょく,50,53,62,43,52,45,305,50 53 62 43 52 45 合計305,SM,アローラ,7,ヒトデナシポケモン,進化前,,,,Mareanie,好壞星,marine(海の) + meanie(卑劣な人、けちな人)
748,ドヒドイデ,ドヒド,,,どく,みず,ひとでなし,じゅうなん,さいせいりょく,50,63,152,53,142,35,495,50 63 152 53 142 35 合計495,SM,アローラ,7,ヒトデナシポケモン,最終進化,,,,Toxapex,超壞星,toxic(有毒な、中毒の) + apex(頂点、絶頂)
749,ドロバンコ,,,,じめん,,マイペース,じきゅうりょく,せいしんりょく,70,100,70,45,55,45,385,70 100 70 45 55 45 合計385,SM,アローラ,7,うさぎうまポケモン,進化前,,,,Mudbray,泥驢仔,mud(泥、ぬかるみ) + bray(ロバの鳴き声)
750,バンバドロ,,,,じめん,,マイペース,じきゅうりょく,せいしんりょく,100,125,100,55,85,35,500,100 125 100 55 85 35 合計500,SM,アローラ,7,ばんばポケモン,最終進化,,,,Mudsdale,重泥挽馬,mud(泥、ぬかるみ) + Clydesdale(馬：クライズデール)
751,シズクモ,,,,みず,むし,すいほう,,ちょすい,38,40,52,40,72,27,269,38 40 52 40 72 27 合計269,SM,アローラ,7,すいほうポケモン,進化前,,,,Dewpider,滴蛛,dew(露、しずく) + spider(クモ)
752,オニシズクモ,,,,みず,むし,すいほう,,ちょすい,68,70,92,50,132,42,454,68 70 92 50 132 42 合計454,SM,アローラ,7,すいほうポケモン,最終進化,,,,Araquanid,滴蛛霸,arachnid(クモ形綱の動物) + aqua(水の)
753,カリキリ,,,,くさ,,リーフガード,,あまのじゃく,40,55,35,50,35,35,250,40 55 35 50 35 35 合計250,SM,アローラ,7,かまくさポケモン,進化前,,,,Fomantis,偽螳草,faux(フランス語：鎌) + mantis(カマキリ)
754,ラランテス,,,,くさ,,リーフガード,,あまのじゃく,70,105,90,80,90,45,480,70 105 90 80 90 45 合計480,SM,アローラ,7,はなかまポケモン,最終進化,,,,Lurantis,蘭螳花,lure(誘惑する、ルアー) + mantis(カマキリ)
755,ネマシュ,,,,くさ,フェアリー,はっこう,ほうし,あめうけざら,40,35,55,65,75,15,285,40 35 55 65 75 15 合計285,SM,アローラ,7,はっこうポケモン,進化前,,,,Morelull,睡睡菇,morel(アミガサタケ) + lull(寝付かせる、あやす)
756,マシェード,,,,くさ,フェアリー,はっこう,ほうし,あめうけざら,60,45,80,90,100,30,405,60 45 80 90 100 30 合計405,SM,アローラ,7,はっこうポケモン,最終進化,,,,Shiinotic,燈罩夜菇,shiitake(椎茸) + shine(光る) + hypnotic(催眠の)
757,ヤトウモリ,,,,どく,ほのお,ふしょく,,どんかん,48,44,40,71,40,77,320,48 44 40 71 40 77 合計320,SM,アローラ,7,どくトカゲポケモン,進化前,,,,Salandit,夜盜火蜥,salamander(サンショウウオ) + bandit(盗賊)
758,エンニュート,,,,どく,ほのお,ふしょく,,どんかん,68,64,60,111,60,117,480,68 64 60 111 60 117 合計480,SM,アローラ,7,どくトカゲポケモン,最終進化,,,,Salazzle,焰后蜥,salamander(サンショウウオ) + sizzle(焼けるように暑い)
759,ヌイコグマ,,,,ノーマル,かくとう,もふもふ,ぶきよう,メロメロボディ,70,75,50,45,50,50,340,70 75 50 45 50 50 合計340,SM,アローラ,7,じたばたポケモン,進化前,,,,Stufful,童偶熊,stuffed animal(ぬいぐるみ) + scuffle(取っ組み合う)
760,キテルグマ,,,,ノーマル,かくとう,もふもふ,ぶきよう,きんちょうかん,120,125,80,55,60,60,500,120 125 80 55 60 60 合計500,SM,アローラ,7,ごうわんポケモン,最終進化,,,,Bewear,穿著熊,bear(クマ) + beware(気を付ける) + wear(着ている)
761,アマカジ,,,,くさ,,リーフガード,どんかん,スイートベール,42,30,38,30,38,32,210,42 30 38 30 38 32 合計210,SM,アローラ,7,フルーツポケモン,進化前,,,,Bounsweet,甜竹竹,bounce(弾む) + sweet(甘い)
762,アママイコ,,,,くさ,,リーフガード,どんかん,スイートベール,52,40,48,40,48,62,290,52 40 48 40 48 62 合計290,SM,アローラ,7,フルーツポケモン,中間進化,,,,Steenee,甜舞妮,mangosteen(マンゴスチン) + teen(10代の)
763,アマージョ,,,,くさ,,リーフガード,じょおうのいげん,スイートベール,72,120,98,50,98,72,510,72 120 98 50 98 72 合計510,SM,アローラ,7,フルーツポケモン,最終進化,,,,Tsareena,甜冷美后,tsarina(ロシア皇后) + mangosteen(マンゴスチン)
764,キュワワー,,,,フェアリー,,フラワーベール,ヒーリングシフト,しぜんかいふく,51,52,90,82,110,100,485,51 52 90 82 110 100 合計485,SM,アローラ,7,はなつみポケモン,進化しない,,,,Comfey,花療環環,comfy(快適な) + lei(花輪)
765,ヤレユータン,,,,ノーマル,エスパー,せいしんりょく,テレパシー,きょうせい,90,60,80,90,110,60,490,90 60 80 90 110 60 合計490,SM,アローラ,7,けんじゃポケモン,進化しない,,,,Oranguru,智揮猩,orangutan(オランウータン) + guru(導師、指導者)
766,ナゲツケサル,,,,かくとう,,レシーバー,,まけんき,100,120,90,40,60,80,490,100 120 90 40 60 80 合計490,SM,アローラ,7,れんけいポケモン,進化しない,,,,Passimian,投擲猴,pass(渡す) + simian(類人猿、サル)
767,コソクムシ,,,,むし,みず,にげごし,,,25,35,40,20,30,80,230,25 35 40 20 30 80 合計230,SM,アローラ,7,そうこうポケモン,進化前,,,,Wimpod,膽小蟲,wimp(意気地なし、弱虫) + isopod(等脚類)
768,グソクムシャ,,,,むし,みず,ききかいひ,,,75,125,140,60,90,40,530,75 125 140 60 90 40 合計530,SM,アローラ,7,そうこうポケモン,最終進化,,,,Golisopod,具甲武者,goliath(ゴリアテ、巨人、力持ち) + isopod(等脚類)
768.1,メガグソクムシャ,,,,むし,はがね,,,,75,150,175,70,120,40,630,75 150 175 70 120 40 合計630,M次元ラッシュ,アローラ,9,そうこうポケモン,最終進化,,メガシンカ,,,,
769,スナバァ,,,,ゴースト,じめん,みずがため,,すながくれ,55,55,80,70,45,15,320,55 55 80 70 45 15 合計320,SM,アローラ,7,すなやまポケモン,進化前,,,,Sandygast,沙丘娃,sandy(砂の、砂地の) + gast(脅す、驚かす)
770,シロデスナ,,,,ゴースト,じめん,みずがため,,すながくれ,85,75,110,100,75,35,480,85 75 110 100 75 35 合計480,SM,アローラ,7,すなのしろポケモン,最終進化,,,,Palossand,噬沙堡爺,palace(宮殿) + colossal(巨大な) + sand(砂)
771,ナマコブシ,,,,みず,,とびだすなかみ,,てんねん,55,60,130,30,130,5,410,55 60 130 30 130 5 合計410,SM,アローラ,7,なまこポケモン,進化しない,,,,Pyukumuku,拳海參,puke(吐く) + sea cucumber(ナマコ) + mucus(粘液)
772,タイプ:ヌル,タイプヌル,,,ノーマル,,カブトアーマー,,,95,95,95,95,95,59,534,95 95 95 95 95 59 合計534,SM,アローラ,7,じんこうポケモン,進化前,準伝説,,,Type: Null (英語),屬性：空,type(型、型式、タイプ、様式) + null(ゼロの、向こうの、価値のない)
773,シルヴァディ,,,,ノーマル,,ARシステム,,,95,95,95,95,95,95,570,95 95 95 95 95 95 合計570,SM,アローラ,7,じんこうポケモン,最終進化,準伝説,,,Silvally,銀伴戰獸,silver(銀、銀色) + ally(同盟、味方)
774,メテノ(りゅうせいのすがた),メテノ,メテノりゅうせい,りゅうせいのすがた,いわ,ひこう,リミットシールド,,,60,60,100,60,100,60,440,60 60 100 60 100 60 合計440,SM,アローラ,7,ながれぼしポケモン,進化しない,,,,Minior,小隕星,mini(小さい、小型の) + meteor(隕石、流れ星)
774.1,メテノ(いろのコア),メテノコア,メテノ(コア),コアメテノ,いわ,ひこう,リミットシールド,,,60,100,60,100,60,120,500,60 100 60 100 60 120 合計500,SM,アローラ,7,ながれぼしポケモン,進化しない,,,,,,
775,ネッコアラ,,,,ノーマル,,ぜったいねむり,,,65,115,65,75,95,65,480,65 115 65 75 95 65 合計480,SM,アローラ,7,ゆめうつつポケモン,進化しない,,,,Komala,樹枕尾熊,coma(昏睡) + koala(コアラ)
776,バクガメス,,,,ほのお,ドラゴン,シェルアーマー,,,60,78,135,91,85,36,485,60 78 135 91 85 36 合計485,SM,アローラ,7,ばくはつがめポケモン,進化しない,,,,Turtonator,爆焰龜獸,turtle(カメ) + detonator(起爆装置、雷管)
777,トゲデマル,デマル,,,でんき,はがね,てつのトゲ,ひらいしん,がんじょう,65,98,63,40,73,96,435,65 98 63 40 73 96 合計435,SM,アローラ,7,まるまりポケモン,進化しない,エレキュート,,,Togedemaru,托戈德瑪爾,棘(spine) + 丸(round)
778,ミミッキュ,ミミ,,,ゴースト,フェアリー,ばけのかわ,,,55,90,80,50,105,96,476,55 90 80 50 105 96 合計476,SM,アローラ,7,ばけのかわポケモン,進化しない,,,,Mimikyu,謎擬Ｑ,mimic(真似る) + you(あなた)
779,ハギギシリ,,,,みず,エスパー,ビビッドボディ,がんじょうあご,ミラクルスキン,68,105,70,70,70,92,475,68 105 70 70 70 92 合計475,SM,アローラ,7,はぎしりポケモン,進化しない,,,,Bruxish,磨牙彩皮魚,bruxism(歯ぎしり) + fish(魚)
780,ジジーロン,,,,ノーマル,ドラゴン,ぎゃくじょう,そうしょく,ノーてんき,78,60,85,135,91,36,485,78 60 85 135 91 36 合計485,SM,アローラ,7,ゆうゆうポケモン,進化しない,,,,Drampa,老翁龍,dragon(ドラゴン、龍) + grampa(おじいちゃん)
780.1,メガジジーロン,,,,ノーマル,ドラゴン,,,,78,85,110,160,116,36,585,78 85 110 160 116 36 合計585,ZA,カロス,9,ゆうゆうポケモン,進化しない,メガシンカ,,,,,
781,ダダリン,,,,ゴースト,くさ,はがねつかい,,,70,131,100,86,90,40,517,70 131 100 86 90 40 合計517,SM,アローラ,7,もくずポケモン,進化しない,,,,Dhelmise,破破舵輪,demise(逝去、死去) + helm(舵輪)
782,ジャラコ,,,,ドラゴン,,ぼうだん,ぼうおん,ぼうじん,45,55,65,45,45,45,300,45 55 65 45 45 45 合計300,SM,アローラ,7,うろこポケモン,進化前,大器晩成,,,Jangmo-o,心鱗寶,jangle(じゃらじゃら鳴る) + mo’o(ハワイ語：ドラゴン)
783,ジャランゴ,,,,ドラゴン,かくとう,ぼうだん,ぼうおん,ぼうじん,55,75,90,65,70,65,420,55 75 90 65 70 65 合計420,SM,アローラ,7,うろこポケモン,中間進化,大器晩成,,,Hakamo-o,鱗甲龍,haka(マオリ族の民族舞踊) + mo’o(ハワイ語：ドラゴン)
784,ジャラランガ,ジャラ,,,ドラゴン,かくとう,ぼうだん,ぼうおん,ぼうじん,75,110,125,100,105,85,600,75 110 125 100 105 85 合計600,SM,アローラ,7,うろこポケモン,最終進化,大器晩成,,,Kommo-o,杖尾鱗甲龍,commotion(動揺) + Komodo dragon(コモドドラゴン) + mo’o(ドラゴン)
785,カプ・コケコ,カプコケコ,コケコ,,でんき,フェアリー,エレキメイカー,,テレパシー,70,115,85,95,75,130,570,70 115 85 95 75 130 合計570,SM,アローラ,7,とちがみポケモン,進化しない,準伝説,,,Tapu Koko,卡璞・鳴鳴,tapu(ハワイ語：神聖) + koko(ハワイ語：鶏の鳴き声、血、虹色)
786,カプ・テテフ,カプテテフ,テテフ,,エスパー,フェアリー,サイコメイカー,,テレパシー,70,85,75,130,115,95,570,70 85 75 130 115 95 合計570,SM,アローラ,7,とちがみポケモン,進化しない,準伝説,,,Tapu Lele,卡璞・蝶蝶,tapu(ハワイ語：神聖) + pulelehua(ハワイ語：蝶)
787,カプ・ブルル,カプブルル,ブルル,,くさ,フェアリー,グラスメイカー,,テレパシー,70,130,115,85,95,75,570,70 130 115 85 95 75 合計570,SM,アローラ,7,とちがみポケモン,進化しない,準伝説,,,Tapu Bulu,卡璞・哞哞,tapu(ハワイ語：神聖) + buluハワイ語：雄牛)
788,カプ・レヒレ,カプレヒレ,レヒレ,,みず,フェアリー,ミストメイカー,,,70,75,115,95,130,85,570,70 75 115 95 130 85 合計570,SM,アローラ,7,とちがみポケモン,進化しない,準伝説,,,Tapu Fini,卡璞・鰭鰭,tapu(ハワイ語：神聖) + fin(ヒレ)
789,コスモッグ,ほしぐもちゃん,,,エスパー,,てんねん,,,43,29,31,29,31,37,200,43 29 31 29 31 37 合計200,SM,アローラ,7,せいうんポケモン,進化前,禁止級伝説,ウルトラビースト,,Cosmog,科斯莫古,cosmos(宇宙、コスモス) + smog(煙霧、スモッグ)
790,コスモウム,,,,エスパー,,がんじょう,,,43,29,131,29,131,37,400,43 29 131 29 131 37 合計400,SM,アローラ,7,げんしせいポケモン,中間進化,禁止級伝説,ウルトラビースト,,Cosmoem,科斯莫姆,cosmos(宇宙、コスモス) + embryo(胎芽、胚)
791,ソルガレオ,,,,エスパー,はがね,メタルプロテクト,,,137,137,107,113,89,97,680,137 137 107 113 89 97 合計680,SM,アローラ,7,にちりんポケモン,進化前,禁止級伝説,ウルトラビースト,,Solgaleo,索爾迦雷歐,sol(ラテン語：太陽) + Galileo(ガリレオ) + leo(ラテン語：ライオン)
792,ルナアーラ,,,,エスパー,ゴースト,ファントムガード,,,137,113,89,137,107,97,680,137 113 89 137 107 97 合計680,SM,アローラ,7,がちりんポケモン,最終進化,禁止級伝説,ウルトラビースト,,Lunala,露奈雅拉,luna(ラテン語：月) + ala(ラテン語：翼)
793,ウツロイド,パラサイト,,,いわ,どく,ビーストブースト,,,109,53,47,127,131,103,570,109 53 47 127 131 103 合計570,SM,アローラ,7,きせいポケモン,進化しない,準伝説,ウルトラビースト,,Nihilego,虛吾伊德,nihili (ラテン語：何もない) + ego(自我、自惚れ)
794,マッシブーン,イクスパンション,,,むし,かくとう,ビーストブースト,,,107,139,139,53,53,79,570,107 139 139 53 53 79 合計570,SM,アローラ,7,ぼうちょうポケモン,進化しない,準伝説,ウルトラビースト,,Buzzwole,爆肌蚊,buzz(ブンブンいう、羽音) + swole(筋肉マッチョ)
795,フェローチェ,ビューティー,,,むし,かくとう,ビーストブースト,,,71,137,37,137,37,151,570,71 137 37 137 37 151 合計570,SM,アローラ,7,えんびポケモン,進化しない,準伝説,ウルトラビースト,,Pheromosa,費洛美螂,pheromone(フェロモン) + hermosa(スペイン語：美しい)
796,デンジュモク,ライトニング,,,でんき,,ビーストブースト,,,83,89,71,173,71,83,570,83 89 71 173 71 83 合計570,SM,アローラ,7,でんしょくポケモン,進化しない,準伝説,ウルトラビースト,,Xurkitree,電束木,circuitry(電気回路構成) + tree(木)
797,テッカグヤ,カグヤ,ブラスター,,はがね,ひこう,ビーストブースト,,,97,101,103,107,101,61,570,97 101 103 107 101 61 合計570,SM,アローラ,7,うちあげポケモン,進化しない,準伝説,ウルトラビースト,,Celesteela,鐵火輝夜,celestial(天の、空の、天国のような) + steel(鋼、鋼鉄)
798,カミツルギ,ツルギ,スラッシュ,,くさ,はがね,ビーストブースト,,,59,181,131,59,31,109,570,59 181 131 59 31 109 合計570,SM,アローラ,7,ばっとうポケモン,進化しない,準伝説,ウルトラビースト,,Kartana,紙御劍,刀(katana) + charta(ラテン語：紙) +Curtana(カーテナ)
799,アクジキング,グラトニー,,,あく,ドラゴン,ビーストブースト,,,223,101,53,97,53,43,570,223 101 53 97 53 43 合計570,SM,アローラ,7,あくじきポケモン,進化しない,準伝説,ウルトラビースト,,Guzzlord,惡食大王,guzzle(暴飲する) + lord(主人、支配者、首長、神、キリスト)
800,ネクロズマ,,,,エスパー,,プリズムアーマー,,,97,107,101,127,89,79,600,97 107 101 127 89 79 合計600,SM,アローラ,7,プリズムポケモン,進化しない,禁止級伝説,,,Necrozma,奈克洛茲瑪,necros(ギリシャ語：死) + 黒  + prisma(ギリシャ語：支柱)
800.1,ネクロズマ(たそがれのたてがみ),たそがれネクロズマ,たそがれのたてがみ,にっしょくネクロズマ,エスパー,はがね,プリズムアーマー,,,97,157,127,113,109,77,680,97 157 127 113 109 77 合計680,USUM,アローラ,7,プリズムポケモン,進化しない,禁止級伝説,,,,,
800.2,ネクロズマ(あかつきのつばさ),あかつきネクロズマ,あかつきのつばさ,げっしょくネクロズマ,エスパー,ゴースト,プリズムアーマー,,,97,113,109,157,127,77,680,97 113 109 157 127 77 合計680,USUM,アローラ,7,プリズムポケモン,進化しない,禁止級伝説,,,,,
800.3,ネクロズマ(ウルトラネクロズマ),ウルトラネクロズマ,ウルネク,かがやきさま,エスパー,ドラゴン,ブレインフォース,,,97,167,97,167,97,129,754,97 167 97 167 97 129 合計754,USUM,アローラ,7,プリズムポケモン,進化しない,禁止級伝説,,,,,
801,マギアナ,,,,はがね,フェアリー,ソウルハート,,,80,95,115,130,115,65,600,80 95 115 130 115 65 合計600,SM,アローラ,7,じんぞうポケモン,進化しない,幻のポケモン,,,Magearna,瑪機雅娜,machine(機械) + gear(ギア) + deus ex machina(機械仕掛けの神)
801.1,メガマギアナ,,,,はがね,フェアリー,,,,80,125,115,170,115,95,700,80 125 115 170 115 95 合計700,M次元ラッシュ,カロス,9,じんぞうポケモン,進化しない,幻のポケモン,メガシンカ,,,,
802,マーシャドー,,,,かくとう,ゴースト,テクニシャン,,,90,125,80,90,90,125,600,90 125 80 90 90 125 合計600,SM,アローラ,7,かげすみポケモン,進化しない,幻のポケモン,,,Marshadow,瑪夏多,martial arts(武術、武道) + shadow(影)
803,ベベノム,スティッキー,,,どく,,ビーストブースト,,,67,73,67,73,67,73,420,67 73 67 73 67 73 合計420,USUM,アローラ,7,どくばりポケモン,進化前,準伝説,ウルトラビースト,,Poipole,毒貝比,poison(毒) + tadpole(オタマジャクシ)
804,アーゴヨン,スティンガー,,,どく,ドラゴン,ビーストブースト,,,73,73,73,127,73,121,540,73 73 73 127 73 121 合計540,USUM,アローラ,7,どくばりポケモン,最終進化,準伝説,ウルトラビースト,,Naganadel,四顎針龍,naga(インド神話：蛇神) + nadel(ドイツ語：針)
805,ツンデツンデ,レイ,,,いわ,はがね,ビーストブースト,,,61,131,211,53,101,13,570,61 131 211 53 101 13 合計570,USUM,アローラ,7,いしがきポケモン,進化しない,準伝説,ウルトラビースト,,Stakataka,壘磊石,stack(積む) + attack(攻撃する)
806,ズガドーン,バースト,,,ほのお,ゴースト,ビーストブースト,,,53,127,53,151,79,107,570,53 127 53 151 79 107 合計570,USUM,アローラ,7,はなびポケモン,進化しない,準伝説,ウルトラビースト,,Blacephalon,砰頭小丑,blast(爆発) + cephalon(頭部)
807,ゼラオラ,,,,でんき,,ちくでん,,,88,112,75,102,80,143,600,88 112 75 102 80 143 合計600,USUM,アローラ,7,じんらいポケモン,進化しない,幻のポケモン,,,Zeraora,捷拉奧拉,Zeus(ゼウス) + tora(日本語：虎)
807.1,メガゼラオラ,,,,でんき,,,,,88,157,75,147,80,153,700,88 157 75 147 80 153 合計700,M次元ラッシュ,カロス,9,じんらいポケモン,進化しない,幻のポケモン,メガシンカ,,,,
808,メルタン,,,,はがね,,じりょく,,,46,65,65,55,35,34,300,46 65 65 55 35 34 合計300,LPLE,カントー,7,ナットポケモン,進化前,幻のポケモン,,,Meltan,美錄坦,melt(溶ける) + 日本語：たん(幼児語)
809,メルメタル,,,,はがね,,てつのこぶし,,,135,143,143,80,65,34,600,135 143 143 80 65 34 合計600,LPLE,カントー,7,ナットポケモン,最終進化,幻のポケモン,,,Melmetal,美錄梅塔,melt(溶ける) + metal(金属)
810,サルノリ,,,,くさ,,しんりょく,,グラスメイカー,50,65,50,40,40,65,310,50 65 50 40 40 65 合計310,SWSH,ガラル,8,こざるポケモン,進化前,パートナーポケモン,,,Grookey,敲音猴,groove(楽しむ、溝、轍) + monkey(サル)
811,バチンキー,,,,くさ,,しんりょく,,グラスメイカー,70,85,70,55,60,80,420,70 85 70 55 60 80 合計420,SWSH,ガラル,8,ビートポケモン,中間進化,パートナーポケモン,,,Thwackey,啪咚猴,thwack(ぴしゃりと打つ) + monkey(サル)
812,ゴリランダー,,,,くさ,,しんりょく,,グラスメイカー,100,125,90,60,70,85,530,100 125 90 60 70 85 合計530,SWSH,ガラル,8,ドラマーポケモン,最終進化,パートナーポケモン,,,Rillaboom,轟擂金剛猩,gorilla(ゴリラ) + boom(ドーンと鳴る、ブーム)
813,ヒバニー,,,,ほのお,,もうか,,リベロ,50,71,40,40,40,69,310,50 71 40 40 40 69 合計310,SWSH,ガラル,8,うさぎポケモン,進化前,パートナーポケモン,,,Scorbunny,炎兔兒,scorch(焦がす、焼く) + bunny(うさぎ、うさちゃん)
814,ラビフット,,,,ほのお,,もうか,,リベロ,65,86,60,55,60,94,420,65 86 60 55 60 94 合計420,SWSH,ガラル,8,うさぎポケモン,中間進化,パートナーポケモン,,,Raboot,騰蹴小將,rabbit(ウサギ) + boot(蹴る、ブーツ)
815,エースバーン,エスバ,,,ほのお,,もうか,,リベロ,80,116,75,65,75,119,530,80 116 75 65 75 119 合計530,SWSH,ガラル,8,ストライカーポケモン,最終進化,パートナーポケモン,,,Cinderace,閃焰王牌,cinder(燃え殻) + ace(エース、最高のもの)
816,メッソン,,,,みず,,げきりゅう,,スナイパー,50,40,40,70,70,70,340,50 40 40 70 70 70 合計340,SWSH,ガラル,8,みずとかげポケモン,進化前,パートナーポケモン,,,Sobble,淚眼蜥,sob(すすり泣く) + bubble(泡、バブル)
817,ジメレオン,,,,みず,,げきりゅう,,スナイパー,65,60,55,95,55,90,420,65 60 55 95 55 90 合計420,SWSH,ガラル,8,みずとかげポケモン,中間進化,パートナーポケモン,,,Drizzile,變澀蜥,drizzle(細雨、霧雨) + reptile(爬虫類、卑劣な奴)
818,インテレオン,,,,みず,,げきりゅう,,スナイパー,70,85,65,125,65,120,530,70 85 65 125 65 120 合計530,SWSH,ガラル,8,エージェントポケモン,最終進化,パートナーポケモン,,,Inteleon,千面避役,drizzle(細雨、霧雨) + reptile(爬虫類、卑劣な奴)
